ID;BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;VISSZAFIZETES;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
ID188;20000;225800;156000;24;2;0,5;2;7,9183;6;0;1
ID189;10000;665720;-125787;25;2;0,5;2;7,9183;10;1;1
ID190;2000;6748;12915;31;2;0,5;2;7,9183;7;0;0
ID191;20000;2567660;-889409;31;2;0,5;2;7,9183;10;0,769230769;0
ID192;2000;8020;3847;16;2;0,5;2;7,9183;7;0,6;0
ID193;20000;93803;53000;25;2;0,5;2;7,9183;10;0,6875;1
ID194;20000;15602354;1968855;24;2;0,5;2;7,9183;10;1;0
ID195;5000;1034389;-46613;30;2;0,5;2;7,9183;8;0;0
ID196;2000;524416;-164109;21;2;0,5;2;7,9183;7;1;1
ID197;5000;41411;34405;30;2;0,5;2;7,9183;7;0,6;1
ID198;20000;163942;190258;28;2;0,5;2;7,9183;10;0,583333333;0
ID199;2000;42000;65062;24;2;0,5;2;7,9183;6;0,166666667;0
ID200;2000;12750;34800;26;2;0,5;2;7,9183;7;0;0
ID201;5000;33320;25201;30;2;0,5;2;7,9183;9;0,428571429;1
ID202;5000;7996;8100;13;2;0,5;2;7,9183;6;0,8;1
ID203;5000;164276;39095;28;2;0,5;2;7,9183;7;0;1
ID204;20000;553586;-655;30;2;0,5;2;7,9183;10;0;0
ID205;10000;351664;-37037;27;2;0,5;2;7,9183;10;0,769230769;1
ID206;20000;442055;160001;9;2;0,5;2;7,9183;8;0,555555556;1
ID207;2000;227520;-23047;22;2;0,5;2;7,9183;7;0,2;0
ID208;2000;69000;102566;30;2;0,5;2;7,9183;5;0;0
ID209;2000;36597;3643;14;2;0,5;2;7,9183;6;0;0
ID210;2000;20000;26952;22;2;0,5;2;7,9183;7;0;0
ID211;2000;17015;12897;30;2;0,5;2;7,9183;7;0;0
ID212;2000;11239;-14264;25;2;0,5;2;7,9183;6;0;0
ID213;10000;92954;-21214;24;2;0,5;2;7,9183;9;1;1
ID214;2000;42746;-39677;19;2;0,5;2;7,9183;6;0,2;0
ID215;5000;39726;7112;26;2;0,5;2;7,9183;8;1;1
ID216;2000;18490;7851;24;2;0,5;2;7,9183;7;0;0
ID217;20000;858101;295920;26;2;0,5;2;7,9183;10;1;1
ID218;5000;37608;34170;29;2;0,5;2;7,9183;7;0;0
ID219;20000;726542;223196;25;2;0,5;2;7,9183;10;0,5;0
ID220;20000;1036132;218845;31;2;0,5;2;7,9183;10;1;1
ID221;2000;5400;11935;30;2;0,5;2;7,9183;6;0,5;0
ID222;5000;21350;11168;30;2;0,5;2;7,9183;8;1;1
ID223;20000;2328128;-708;31;2;0,5;2;7,9183;10;0,666666667;1
ID224;5000;109701;32855;29;2;0,5;2;7,9183;9;0,857142857;1
ID225;10000;154051;104001;18;2;0,5;2;7,9183;9;0;0
ID226;5000;182883;-11648;15;2;0,5;2;7,9183;9;0;0
ID227;20000;21000;167000;7;2;0,5;2;7,9183;9;0;0
ID228;5000;59969;43291;27;2;0,5;2;7,9183;7;0,5;1
ID229;5000;36843;10091;22;2;0,5;2;7,9183;9;0,5;1
ID230;20000;2260878;-967416;31;2;0,5;2;7,9183;10;0,9;1
ID231;2000;33372;15079;11;2;0,5;2;7,9183;7;0;0
ID232;5000;13359;10000;17;2;0,5;2;7,9183;8;0;0
ID233;20000;3444039;222596;25;2;0,5;2;7,9183;10;1;1
ID234;2000;48000;4849;13;2;0,5;2;7,9183;5;0;1
ID235;20000;306316;114502;26;2;0,5;2;7,9183;10;0,5;1
ID236;10000;612280;91803;31;2;0,5;2;7,9183;10;0,166666667;0
ID237;20000;772136;48102;24;2;0,5;2;7,9183;10;0,888888889;1
ID238;2000;213466;-51075;18;2;0,5;2;7,9183;6;0;0
ID239;20000;14747;15647;2;2;0,5;2;7,9183;8;0,545454546;0
ID240;10000;510547;52601;21;2;0,5;2;7,9183;10;0,888888889;1
ID241;20000;483773;344022;22;2;0,5;2;7,9183;10;1;1
ID242;20000;9335934;-621034;19;2;0,5;2;7,9183;9;0,916666667;1
ID243;20000;161784;151457;26;2;0,5;2;7,9183;10;0,533333333;0
ID244;5000;150107;8502;30;2;0,5;2;7,9183;8;0,333333333;0
ID245;20000;599205;260728;26;2;0,5;2;7,9183;10;0,636363636;0
ID246;2000;43898;1236;22;2;0,5;2;7,9183;5;0,444444444;1
ID247;20000;4122262;597951;24;2;0,5;2;7,9183;9;1;1
ID248;2000;38313;4878;25;2;0,5;2;7,9183;8;0,666666667;1
ID249;20000;134240;85537;31;2;0,5;2;7,9183;10;0,166666667;0
ID250;2000;69038;22094;23;2;0,5;2;7,9183;7;0,8;0
ID251;2000;6869;4893;24;2;0,5;2;7,9183;7;0,666666667;0
ID252;20000;1000;1003288;9;2;0,5;2;7,9183;6;0;0
ID253;10000;46034;53895;21;2;0,5;2;7,9183;8;0,2;0
ID254;2000;38847;20040;26;2;0,5;2;7,9183;6;0;1
ID255;5000;56150;59261;18;2;0,5;2;7,9183;7;0;0
ID256;5000;337105;-153605;23;2;0,5;2;7,9183;10;0,166666667;0
ID257;2000;14205;15718;21;2;0,5;2;7,9183;9;0,25;0
ID258;20000;1096894;193279;23;2;0,5;2;7,9183;10;0,25;1
ID259;5000;451557;75770;28;2;0,5;2;7,9183;7;0,333333333;1
ID260;5000;221097;36386;22;2;0,5;2;7,9183;9;0;0
ID261;5000;134615;62556;27;2;0,5;2;7,9183;9;0,2;0
ID262;20000;2556529;726500;14;2;0,5;2;7,9183;8;0;1
ID263;20000;408953;115398;20;2;0,5;2;7,9183;8;0,6;0
ID264;2000;15777;-1550;23;2;0,5;2;7,9183;5;0;0
ID265;20000;715000;663588;15;2;0,5;2;7,9183;9;0,5;0
ID266;5000;436770;47385;31;2;0,5;2;7,9183;9;1;1
ID267;5000;300802;149576;31;2;0,5;2;7,9183;6;0,222222222;1
ID268;5000;63361;-1571;19;2;0,5;2;7,9183;7;0,333333333;0
ID269;20000;458261;46576;28;2;0,5;2;7,9183;10;0;0
ID270;20000;663377;49551;31;2;0,5;2;7,9183;10;1;1
ID271;5000;235387;92001;18;2;0,5;2;7,9183;9;0,25;0
ID272;5000;83591;147091;16;2;0,5;2;7,9183;5;0,2;1
ID273;20000;379807;301790;31;2;0,5;2;7,9183;9;0;0
ID274;10000;163445;9019;27;2;0,5;2;7,9183;10;0,125;0
ID275;20000;60853;53999;13;2;0,5;2;7,9183;10;0;0
ID276;5000;29628;25960;13;2;0,5;2;7,9183;9;0,333333333;1
ID277;20000;445411;132058;21;2;0,5;2;7,9183;10;0,111111111;0
ID278;20000;1035069;438962;13;2;0,5;2;7,9183;7;0;0
ID279;5000;488950;-17455;29;2;0,5;2;7,9183;7;0,75;1
ID280;5000;23892;6774;15;2;0,5;2;7,9183;9;0,2;0
ID281;2000;76271;47301;28;2;0,5;2;7,9183;8;1;1
ID282;5000;131074;165000;22;2;0,5;2;7,9183;6;0;0
ID283;5000;19499;15500;27;2;0,5;2;7,9183;7;0,8;1
